! year          LOD
! [a]           [ms]
  1962.871      1.409
  1962.873      1.356
  1962.876      1.357
  1962.879      1.411
  1962.882      1.487
  1962.884      1.566
  1962.887      1.623
  1962.890      1.667
  1962.893      1.680
  1962.895      1.669
  1962.898      1.627
  1962.901      1.570
  1962.903      1.500
  1962.906      1.423
  1962.909      1.383
  1962.912      1.378
  1962.914      1.433
  1962.917      1.560
  1962.920      1.727
  1962.923      1.921
  1962.925      2.109
  1962.928      2.253
  1962.931      2.317
  1962.934      2.272
  1962.936      2.139
  1962.939      1.943
  1962.942      1.755
  1962.945      1.601
  1962.947      1.515
  1962.950      1.488
  1962.953      1.511
  1962.956      1.543
  1962.958      1.593
  1962.961      1.634
  1962.964      1.653
  1962.966      1.643
  1962.969      1.600
  1962.972      1.516
  1962.975      1.417
  1962.977      1.304
  1962.980      1.188
  1962.983      1.079
  1962.986      1.019
  1962.988      1.016
  1962.991      1.078
  1962.994      1.196
  1962.997      1.341
  1962.999      1.478
  1963.002      1.582
  1963.005      1.614
  1963.008      1.572
  1963.010      1.453
  1963.013      1.280
  1963.016      1.094
  1963.018      0.936
  1963.021      0.837
  1963.024      0.805
  1963.027      0.841
  1963.029      0.902
  1963.032      0.966
  1963.035      1.034
  1963.038      1.071
  1963.040      1.078
  1963.043      1.052
  1963.046      0.992
  1963.049      0.907
  1963.051      0.807
  1963.054      0.705
  1963.057      0.623
  1963.060      0.572
  1963.062      0.573
  1963.065      0.652
  1963.068      0.796
  1963.070      0.983
  1963.073      1.180
  1963.076      1.330
  1963.079      1.409
  1963.081      1.403
  1963.084      1.306
  1963.087      1.166
  1963.090      1.004
  1963.092      0.886
  1963.095      0.823
  1963.098      0.806
  1963.101      0.861
  1963.103      0.950
  1963.106      1.069
  1963.109      1.176
  1963.112      1.264
  1963.114      1.313
  1963.117      1.326
  1963.120      1.303
  1963.123      1.239
  1963.125      1.167
  1963.128      1.081
  1963.131      1.004
  1963.133      0.954
  1963.136      0.937
  1963.139      1.003
  1963.142      1.143
  1963.144      1.346
  1963.147      1.584
  1963.150      1.794
  1963.153      1.912
  1963.155      1.936
  1963.158      1.843
  1963.161      1.687
  1963.164      1.497
  1963.166      1.341
  1963.169      1.231
  1963.172      1.191
  1963.175      1.208
  1963.177      1.287
  1963.180      1.385
  1963.183      1.498
  1963.185      1.587
  1963.188      1.648
  1963.191      1.673
  1963.194      1.660
  1963.196      1.612
  1963.199      1.538
  1963.202      1.445
  1963.205      1.358
  1963.207      1.304
  1963.210      1.288
  1963.213      1.328
  1963.216      1.437
  1963.218      1.629
  1963.221      1.865
  1963.224      2.119
  1963.227      2.317
  1963.229      2.417
  1963.232      2.377
  1963.235      2.228
  1963.238      2.021
  1963.240      1.819
  1963.243      1.679
  1963.246      1.606
  1963.248      1.598
  1963.251      1.650
  1963.254      1.738
  1963.257      1.829
  1963.259      1.913
  1963.262      1.963
  1963.265      1.990
  1963.268      1.968
  1963.270      1.889
  1963.273      1.790
  1963.276      1.672
  1963.279      1.564
  1963.281      1.474
  1963.284      1.420
  1963.287      1.425
  1963.290      1.481
  1963.292      1.616
  1963.295      1.815
  1963.298      2.062
  1963.300      2.284
  1963.303      2.431
  1963.306      2.468
  1963.309      2.363
  1963.311      2.161
  1963.314      1.926
  1963.317      1.731
  1963.320      1.598
  1963.322      1.559
  1963.325      1.590
  1963.328      1.677
  1963.331      1.763
  1963.333      1.847
  1963.336      1.911
  1963.339      1.944
  1963.342      1.942
  1963.344      1.892
  1963.347      1.809
  1963.350      1.693
  1963.352      1.570
  1963.355      1.458
  1963.358      1.376
  1963.361      1.341
  1963.363      1.362
  1963.366      1.426
  1963.369      1.559
  1963.372      1.745
  1963.374      1.934
  1963.377      2.085
  1963.380      2.138
  1963.383      2.082
  1963.385      1.922
  1963.388      1.692
  1963.391      1.455
  1963.394      1.271
  1963.396      1.179
  1963.399      1.178
  1963.402      1.225
  1963.405      1.310
  1963.407      1.405
  1963.410      1.472
  1963.413      1.521
  1963.415      1.524
  1963.418      1.500
  1963.421      1.443
  1963.424      1.372
  1963.426      1.269
  1963.429      1.170
  1963.432      1.086
  1963.435      1.044
  1963.437      1.057
  1963.440      1.132
  1963.443      1.253
  1963.446      1.423
  1963.448      1.596
  1963.451      1.749
  1963.454      1.841
  1963.457      1.831
  1963.459      1.717
  1963.462      1.522
  1963.465      1.281
  1963.467      1.075
  1963.470      0.947
  1963.473      0.893
  1963.476      0.919
  1963.478      0.984
  1963.481      1.057
  1963.484      1.124
  1963.487      1.150
  1963.489      1.160
  1963.492      1.121
  1963.495      1.049
  1963.498      0.940
  1963.500      0.829
  1963.503      0.709
  1963.506      0.607
  1963.509      0.531
  1963.511      0.519
  1963.514      0.559
  1963.517      0.661
  1963.520      0.795
  1963.522      0.960
  1963.525      1.102
  1963.528      1.197
  1963.530      1.211
  1963.533      1.148
  1963.536      0.999
  1963.539      0.820
  1963.541      0.656
  1963.544      0.544
  1963.547      0.508
  1963.550      0.549
  1963.552      0.643
  1963.555      0.766
  1963.558      0.867
  1963.561      0.938
  1963.563      0.979
  1963.566      0.969
  1963.569      0.931
  1963.572      0.855
  1963.574      0.773
  1963.577      0.690
  1963.580      0.634
  1963.582      0.598
  1963.585      0.630
  1963.588      0.723
  1963.591      0.874
  1963.593      1.070
  1963.596      1.299
  1963.599      1.509
  1963.602      1.646
  1963.604      1.692
  1963.607      1.635
  1963.610      1.502
  1963.613      1.320
  1963.615      1.141
  1963.618      1.007
  1963.621      0.943
  1963.624      0.957
  1963.626      1.032
  1963.629      1.139
  1963.632      1.245
  1963.634      1.325
  1963.637      1.363
  1963.640      1.347
