! year          LOD
! [a]           [ms]
  1970.501      1.544
  1970.504      1.621
  1970.507      1.756
  1970.509      1.924
  1970.512      2.095
  1970.515      2.244
  1970.517      2.339
  1970.520      2.387
  1970.523      2.361
  1970.526      2.279
  1970.528      2.129
  1970.531      1.940
  1970.534      1.740
  1970.537      1.603
  1970.539      1.577
  1970.542      1.685
  1970.545      1.934
  1970.548      2.238
  1970.550      2.520
  1970.553      2.670
  1970.556      2.662
  1970.559      2.485
  1970.561      2.205
  1970.564      1.902
  1970.567      1.608
  1970.569      1.391
  1970.572      1.271
  1970.575      1.231
  1970.578      1.280
  1970.580      1.393
  1970.583      1.535
  1970.586      1.709
  1970.589      1.865
  1970.591      1.990
  1970.594      2.057
  1970.597      2.059
  1970.600      1.996
  1970.602      1.888
  1970.605      1.742
  1970.608      1.597
  1970.611      1.484
  1970.613      1.455
  1970.616      1.546
  1970.619      1.789
  1970.621      2.138
  1970.624      2.509
  1970.627      2.787
  1970.630      2.912
  1970.632      2.837
  1970.635      2.601
  1970.638      2.292
  1970.641      1.993
  1970.643      1.764
  1970.646      1.632
  1970.649      1.599
  1970.652      1.651
  1970.654      1.769
  1970.657      1.933
  1970.660      2.115
  1970.663      2.289
  1970.665      2.427
  1970.668      2.519
  1970.671      2.533
  1970.674      2.479
  1970.676      2.366
  1970.679      2.212
  1970.682      2.056
  1970.684      1.914
  1970.687      1.847
  1970.690      1.887
  1970.693      2.060
  1970.695      2.345
  1970.698      2.706
  1970.701      3.042
  1970.704      3.267
  1970.706      3.299
  1970.709      3.146
  1970.712      2.867
  1970.715      2.560
  1970.717      2.290
  1970.720      2.128
  1970.723      2.067
  1970.726      2.104
  1970.728      2.216
  1970.731      2.368
  1970.734      2.555
  1970.736      2.731
  1970.739      2.881
  1970.742      2.971
  1970.745      2.996
  1970.747      2.939
  1970.750      2.826
  1970.753      2.665
  1970.756      2.493
  1970.758      2.318
  1970.761      2.210
  1970.764      2.205
  1970.767      2.328
  1970.769      2.568
  1970.772      2.879
  1970.775      3.226
  1970.778      3.495
  1970.780      3.630
  1970.783      3.588
  1970.786      3.390
  1970.789      3.104
  1970.791      2.820
  1970.794      2.599
  1970.797      2.499
  1970.799      2.511
  1970.802      2.600
  1970.805      2.749
  1970.808      2.919
  1970.810      3.103
  1970.813      3.249
  1970.816      3.353
  1970.819      3.409
  1970.821      3.387
  1970.824      3.306
  1970.827      3.158
  1970.830      2.987
  1970.832      2.820
  1970.835      2.700
  1970.838      2.669
  1970.841      2.749
  1970.843      2.939
  1970.846      3.201
  1970.849      3.490
  1970.851      3.738
  1970.854      3.870
  1970.857      3.866
  1970.860      3.693
  1970.862      3.422
  1970.865      3.103
  1970.868      2.822
  1970.871      2.633
  1970.873      2.555
  1970.876      2.577
  1970.879      2.671
  1970.882      2.804
  1970.884      2.947
  1970.887      3.084
  1970.890      3.187
  1970.893      3.238
  1970.895      3.226
  1970.898      3.149
  1970.901      3.004
  1970.903      2.827
  1970.906      2.638
  1970.909      2.481
  1970.912      2.402
  1970.914      2.434
  1970.917      2.583
  1970.920      2.810
  1970.923      3.078
  1970.925      3.297
  1970.928      3.420
  1970.931      3.412
  1970.934      3.271
  1970.936      3.028
  1970.939      2.736
  1970.942      2.449
  1970.945      2.241
  1970.947      2.123
  1970.950      2.117
  1970.953      2.184
  1970.956      2.312
  1970.958      2.456
  1970.961      2.599
  1970.964      2.718
  1970.966      2.798
  1970.969      2.820
  1970.972      2.791
  1970.975      2.695
  1970.977      2.576
  1970.980      2.436
  1970.983      2.300
  1970.986      2.225
  1970.988      2.253
  1970.991      2.406
  1970.994      2.679
  1970.997      2.984
  1970.999      3.261
  1971.002      3.437
  1971.005      3.469
  1971.008      3.349
  1971.010      3.123
  1971.013      2.849
  1971.016      2.588
  1971.018      2.379
  1971.021      2.260
  1971.024      2.251
  1971.027      2.319
  1971.029      2.447
  1971.032      2.613
  1971.035      2.765
  1971.038      2.886
  1971.040      2.958
  1971.043      2.971
  1971.046      2.933
  1971.049      2.829
  1971.051      2.682
  1971.054      2.510
  1971.057      2.342
  1971.060      2.206
  1971.062      2.165
  1971.065      2.246
  1971.068      2.445
  1971.070      2.743
  1971.073      3.041
  1971.076      3.256
  1971.079      3.317
  1971.081      3.214
  1971.084      2.962
  1971.087      2.641
  1971.090      2.338
  1971.092      2.099
  1971.095      1.955
  1971.098      1.913
  1971.101      1.970
  1971.103      2.093
  1971.106      2.244
  1971.109      2.412
  1971.112      2.556
  1971.114      2.665
  1971.117      2.704
  1971.120      2.678
  1971.123      2.593
  1971.125      2.472
  1971.128      2.304
  1971.131      2.144
  1971.133      2.022
  1971.136      1.956
  1971.139      2.006
  1971.142      2.183
  1971.144      2.477
  1971.147      2.840
  1971.150      3.169
  1971.153      3.381
  1971.155      3.406
  1971.158      3.260
  1971.161      2.995
  1971.164      2.702
  1971.166      2.463
  1971.169      2.335
  1971.172      2.320
  1971.175      2.394
  1971.177      2.550
  1971.180      2.739
  1971.183      2.942
  1971.185      3.133
  1971.188      3.286
  1971.191      3.383
  1971.194      3.405
  1971.196      3.354
  1971.199      3.250
  1971.202      3.104
  1971.205      2.961
  1971.207      2.828
  1971.210      2.739
  1971.213      2.735
  1971.216      2.854
  1971.218      3.081
  1971.221      3.407
  1971.224      3.743
  1971.227      4.016
  1971.229      4.123
  1971.232      4.039
  1971.235      3.789
  1971.238      3.445
  1971.240      3.113
  1971.243      2.880
  1971.246      2.758
  1971.248      2.751
  1971.251      2.829
  1971.254      2.956
  1971.257      3.101
  1971.259      3.240
  1971.262      3.350
  1971.265      3.411
  1971.268      3.421
  1971.270      3.357
  1971.273      3.236
  1971.276      3.076
  1971.279      2.901
  1971.281      2.750
  1971.284      2.635
  1971.287      2.596
  1971.290      2.653
  1971.292      2.806
  1971.295      3.060
  1971.298      3.359
  1971.300      3.642
  1971.303      3.821
  1971.306      3.837
  1971.309      3.690
  1971.311      3.417
  1971.314      3.103
  1971.317      2.839
  1971.320      2.695
  1971.322      2.677
  1971.325      2.752
  1971.328      2.901
  1971.331      3.074
  1971.333      3.242
  1971.336      3.374
  1971.339      3.473
  1971.342      3.506
  1971.344      3.478
  1971.347      3.382
  1971.350      3.252
  1971.352      3.090
  1971.355      2.934
  1971.358      2.817
  1971.361      2.759
  1971.363      2.803
  1971.366      2.937
  1971.369      3.154
  1971.372      3.417
  1971.374      3.660
  1971.377      3.831
  1971.380      3.866
  1971.383      3.761
  1971.385      3.515
  1971.388      3.195
  1971.391      2.894
  1971.394      2.662
  1971.396      2.550
  1971.399      2.544
  1971.402      2.631
  1971.405      2.747
  1971.407      2.873
  1971.410      2.973
  1971.413      3.040
  1971.415      3.044
  1971.418      2.998
  1971.421      2.896
  1971.424      2.747
  1971.426      2.571
  1971.429      2.402
  1971.432      2.252
  1971.435      2.175
  1971.437      2.179
  1971.440      2.286
  1971.443      2.481
  1971.446      2.726
  1971.448      2.961
  1971.451      3.127
  1971.454      3.179
  1971.457      3.097
  1971.459      2.895
  1971.462      2.618
  1971.465      2.329
  1971.467      2.103
  1971.470      1.967
  1971.473      1.946
  1971.476      2.033
  1971.478      2.176
  1971.481      2.324
  1971.484      2.460
  1971.487      2.553
  1971.489      2.589
  1971.492      2.565
  1971.495      2.495
  1971.498      2.377
  1971.500      2.227
  1971.503      2.079
  1971.506      1.939
  1971.509      1.861
  1971.511      1.866
  1971.514      1.977
  1971.517      2.202
  1971.520      2.486
  1971.522      2.786
  1971.525      3.019
  1971.528      3.129
  1971.530      3.094
  1971.533      2.922
  1971.536      2.674
  1971.539      2.412
  1971.541      2.187
  1971.544      2.050
  1971.547      2.021
  1971.550      2.081
  1971.552      2.202
  1971.555      2.353
  1971.558      2.505
  1971.561      2.607
  1971.563      2.663
  1971.566      2.645
  1971.569      2.567
  1971.572      2.448
  1971.574      2.294
  1971.577      2.118
  1971.580      1.962
  1971.582      1.845
  1971.585      1.809
  1971.588      1.862
  1971.591      2.036
  1971.593      2.314
  1971.596      2.624
  1971.599      2.905
  1971.602      3.068
  1971.604      3.067
  1971.607      2.908
  1971.610      2.644
  1971.613      2.362
  1971.615      2.125
  1971.618      1.991
  1971.621      1.967
  1971.624      2.043
  1971.626      2.196
  1971.629      2.389
  1971.632      2.586
  1971.634      2.754
  1971.637      2.871
  1971.640      2.923
  1971.643      2.911
  1971.645      2.832
  1971.648      2.724
  1971.651      2.588
  1971.654      2.458
  1971.656      2.359
  1971.659      2.317
  1971.662      2.360
  1971.665      2.497
  1971.667      2.740
  1971.670      3.047
  1971.673      3.363
  1971.676      3.599
  1971.678      3.680
  1971.681      3.569
  1971.684      3.316
  1971.687      2.990
  1971.689      2.675
  1971.692      2.451
  1971.695      2.358
  1971.697      2.379
  1971.700      2.483
  1971.703      2.634
  1971.706      2.796
  1971.708      2.949
  1971.711      3.059
  1971.714      3.120
  1971.717      3.117
  1971.719      3.053
  1971.722      2.953
  1971.725      2.828
  1971.728      2.704
  1971.730      2.615
  1971.733      2.575
  1971.736      2.606
  1971.739      2.728
  1971.741      2.940
  1971.744      3.250
  1971.747      3.604
  1971.749      3.919
  1971.752      4.115
  1971.755      4.150
  1971.758      3.997
  1971.760      3.719
  1971.763      3.408
  1971.766      3.159
  1971.769      3.020
  1971.771      3.001
  1971.774      3.085
  1971.777      3.225
  1971.780      3.391
  1971.782      3.532
  1971.785      3.635
  1971.788      3.678
  1971.791      3.680
  1971.793      3.612
  1971.796      3.503
  1971.799      3.363
  1971.802      3.217
  1971.804      3.089
  1971.807      3.005
  1971.810      2.986
  1971.812      3.047
  1971.815      3.207
  1971.818      3.438
  1971.821      3.725
  1971.823      4.017
  1971.826      4.246
  1971.829      4.348
  1971.832      4.285
  1971.834      4.073
  1971.837      3.779
  1971.840      3.485
  1971.843      3.293
  1971.845      3.223
  1971.848      3.286
  1971.851      3.417
  1971.854      3.585
  1971.856      3.729
  1971.859      3.825
  1971.862      3.871
  1971.864      3.861
  1971.867      3.794
  1971.870      3.678
  1971.873      3.515
  1971.875      3.339
  1971.878      3.165
  1971.881      3.019
  1971.884      2.944
  1971.886      2.946
  1971.889      3.021
  1971.892      3.182
  1971.895      3.394
  1971.897      3.608
  1971.900      3.801
  1971.903      3.891
  1971.906      3.849
  1971.908      3.681
  1971.911      3.413
  1971.914      3.115
  1971.916      2.869
  1971.919      2.734
  1971.922      2.728
  1971.925      2.832
  1971.927      2.985
  1971.930      3.125
  1971.933      3.236
  1971.936      3.282
  1971.938      3.278
  1971.941      3.218
  1971.944      3.099
  1971.947      2.952
  1971.949      2.777
  1971.952      2.617
  1971.955      2.480
  1971.958      2.408
  1971.960      2.403
  1971.963      2.492
  1971.966      2.662
  1971.969      2.885
  1971.971      3.119
  1971.974      3.313
  1971.977      3.420
  1971.979      3.410
  1971.982      3.280
  1971.985      3.067
  1971.988      2.814
  1971.990      2.586
  1971.993      2.455
  1971.996      2.441
  1971.999      2.539
  1972.001      2.708
  1972.004      2.897
  1972.007      3.065
  1972.010      3.177
  1972.012      3.220
  1972.015      3.201
  1972.018      3.137
  1972.021      3.033
  1972.023      2.898
  1972.026      2.772
  1972.029      2.672
  1972.031      2.621
  1972.034      2.642
  1972.037      2.740
  1972.040      2.937
  1972.042      3.183
  1972.045      3.465
  1972.048      3.704
  1972.051      3.862
  1972.053      3.882
  1972.056      3.773
  1972.059      3.568
  1972.062      3.321
  1972.064      3.095
  1972.067      2.934
  1972.070      2.889
  1972.073      2.945
  1972.075      3.096
  1972.078      3.287
  1972.081      3.469
  1972.084      3.614
  1972.086      3.679
  1972.089      3.682
  1972.092      3.612
  1972.094      3.495
  1972.097      3.350
  1972.100      3.189
  1972.103      3.046
  1972.105      2.935
  1972.108      2.878
  1972.111      2.913
  1972.114      3.040
  1972.116      3.243
  1972.119      3.510
  1972.122      3.772
  1972.125      3.960
  1972.127      4.015
  1972.130      3.916
  1972.133      3.700
  1972.136      3.411
  1972.138      3.142
  1972.141      2.948
  1972.144      2.872
  1972.146      2.907
  1972.149      3.031
  1972.152      3.207
  1972.155      3.391
  1972.157      3.545
  1972.160      3.650
  1972.163      3.653
  1972.166      3.607
  1972.168      3.505
  1972.171      3.366
  1972.174      3.213
  1972.177      3.072
  1972.179      2.964
  1972.182      2.901
  1972.185      2.911
  1972.188      3.008
  1972.190      3.203
  1972.193      3.463
  1972.196      3.755
  1972.198      4.012
  1972.201      4.162
  1972.204      4.155
  1972.207      3.988
  1972.209      3.712
  1972.212      3.411
  1972.215      3.169
  1972.218      3.038
  1972.220      3.029
  1972.223      3.119
  1972.226      3.266
  1972.229      3.429
  1972.231      3.571
  1972.234      3.667
  1972.237      3.712
  1972.240      3.679
  1972.242      3.596
  1972.245      3.469
  1972.248      3.331
  1972.251      3.186
  1972.253      3.078
  1972.256      3.018
  1972.259      3.023
  1972.261      3.102
  1972.264      3.263
  1972.267      3.491
  1972.270      3.771
  1972.272      4.055
  1972.275      4.268
  1972.278      4.355
  1972.281      4.279
  1972.283      4.050
  1972.286      3.745
  1972.289      3.457
  1972.292      3.253
  1972.294      3.180
  1972.297      3.225
  1972.300      3.342
  1972.303      3.480
  1972.305      3.598
  1972.308      3.672
  1972.311      3.690
  1972.313      3.648
  1972.316      3.559
  1972.319      3.424
  1972.322      3.262
  1972.324      3.107
  1972.327      2.973
  1972.330      2.883
  1972.333      2.852
  1972.335      2.900
  1972.338      3.020
  1972.341      3.218
  1972.344      3.459
  1972.346      3.730
  1972.349      3.974
  1972.352      4.134
  1972.355      4.162
  1972.357      4.036
  1972.360      3.811
  1972.363      3.553
  1972.366      3.332
  1972.368      3.228
  1972.371      3.247
  1972.374      3.344
  1972.376      3.481
  1972.379      3.602
  1972.382      3.683
  1972.385      3.693
  1972.387      3.642
  1972.390      3.527
  1972.393      3.377
  1972.396      3.198
  1972.398      3.002
  1972.401      2.831
  1972.404      2.700
  1972.407      2.626
  1972.409      2.621
  1972.412      2.686
  1972.415      2.815
  1972.418      3.001
  1972.420      3.196
  1972.423      3.382
  1972.426      3.497
  1972.428      3.521
  1972.431      3.424
  1972.434      3.217
  1972.437      2.951
  1972.439      2.691
  1972.442      2.528
  1972.445      2.492
  1972.448      2.575
  1972.450      2.727
  1972.453      2.884
  1972.456      2.985
  1972.459      3.025
  1972.461      2.982
  1972.464      2.888
  1972.467      2.748
  1972.470      2.579
  1972.472      2.398
  1972.475      2.239
  1972.478      2.114
  1972.480      2.044
  1972.483      2.042
  1972.486      2.125
  1972.489      2.276
  1972.491      2.477
  1972.494      2.707
  1972.497      2.908
  1972.500      3.058
  1972.502      3.105
  1972.505      3.045
  1972.508      2.887
  1972.511      2.667
  1972.513      2.435
  1972.516      2.262
  1972.519      2.188
  1972.522      2.223
  1972.524      2.331
  1972.527      2.475
  1972.530      2.614
  1972.533      2.704
  1972.535      2.700
  1972.538      2.650
  1972.541      2.534
  1972.543      2.393
  1972.546      2.237
  1972.549      2.088
  1972.552      1.978
  1972.554      1.918
  1972.557      1.924
  1972.560      2.016
  1972.563      2.173
  1972.565      2.402
  1972.568      2.663
  1972.571      2.923
  1972.574      3.114
  1972.576      3.206
  1972.579      3.191
  1972.582      3.054
  1972.585      2.853
  1972.587      2.646
  1972.590      2.479
  1972.593      2.396
  1972.595      2.406
  1972.598      2.524
  1972.601      2.691
  1972.604      2.850
  1972.606      2.960
  1972.609      2.980
  1972.612      2.923
  1972.615      2.795
  1972.617      2.629
  1972.620      2.430
  1972.623      2.233
  1972.626      2.079
  1972.628      1.959
  1972.631      1.911
  1972.634      1.946
  1972.637      2.057
  1972.639      2.249
  1972.642      2.491
  1972.645      2.745
  1972.648      2.969
  1972.650      3.100
  1972.653      3.112
  1972.656      2.998
  1972.658      2.798
  1972.661      2.577
  1972.664      2.400
  1972.667      2.317
  1972.669      2.345
  1972.672      2.473
  1972.675      2.668
  1972.678      2.882
  1972.680      3.069
  1972.683      3.183
  1972.686      3.224
  1972.689      3.187
  1972.691      3.078
  1972.694      2.935
  1972.697      2.794
  1972.700      2.669
  1972.702      2.574
  1972.705      2.544
  1972.708      2.580
  1972.710      2.690
  1972.713      2.862
  1972.716      3.104
  1972.719      3.370
  1972.721      3.637
  1972.724      3.829
  1972.727      3.904
  1972.730      3.847
  1972.732      3.661
  1972.735      3.415
  1972.738      3.179
  1972.741      3.041
  1972.743      3.012
  1972.746      3.093
  1972.749      3.248
  1972.752      3.428
  1972.754      3.580
  1972.757      3.683
  1972.760      3.716
  1972.762      3.666
  1972.765      3.561
  1972.768      3.402
  1972.771      3.225
  1972.773      3.055
  1972.776      2.918
  1972.779      2.830
  1972.782      2.805
  1972.784      2.848
  1972.787      2.947
  1972.790      3.116
  1972.793      3.329
  1972.795      3.556
  1972.798      3.753
  1972.801      3.865
  1972.804      3.852
  1972.806      3.704
  1972.809      3.447
  1972.812      3.176
  1972.815      2.964
  1972.817      2.857
  1972.820      2.885
  1972.823      2.995
  1972.825      3.151
  1972.828      3.281
  1972.831      3.370
  1972.834      3.394
  1972.836      3.361
  1972.839      3.261
  1972.842      3.126
  1972.845      2.966
  1972.847      2.816
  1972.850      2.691
  1972.853      2.621
  1972.856      2.610
  1972.858      2.653
  1972.861      2.769
  1972.864      2.939
  1972.867      3.152
  1972.869      3.394
  1972.872      3.617
  1972.875      3.788
  1972.877      3.865
  1972.880      3.823
  1972.883      3.670
  1972.886      3.456
  1972.888      3.256
  1972.891      3.146
  1972.894      3.163
  1972.897      3.293
  1972.899      3.475
  1972.902      3.652
  1972.905      3.775
  1972.908      3.812
  1972.910      3.767
  1972.913      3.663
  1972.916      3.508
  1972.919      3.341
  1972.921      3.150
  1972.924      2.979
  1972.927      2.857
  1972.930      2.792
  1972.932      2.781
  1972.935      2.832
  1972.938      2.938
  1972.940      3.102
  1972.943      3.273
  1972.946      3.446
  1972.949      3.580
  1972.951      3.644
  1972.954      3.624
  1972.957      3.495
  1972.960      3.303
  1972.962      3.106
  1972.965      2.963
  1972.968      2.918
  1972.971      3.008
  1972.973      3.187
  1972.976      3.392
  1972.979      3.556
  1972.982      3.626
  1972.984      3.615
  1972.987      3.519
  1972.990      3.376
  1972.992      3.210
  1972.995      3.041
  1972.998      2.889
  1973.001      2.773
  1973.003      2.710
  1973.006      2.722
  1973.009      2.791
  1973.012      2.928
  1973.014      3.108
  1973.017      3.317
  1973.020      3.507
  1973.023      3.655
  1973.025      3.726
  1973.028      3.711
  1973.031      3.599
  1973.034      3.420
  1973.036      3.197
  1973.039      3.006
  1973.042      2.900
  1973.044      2.900
  1973.047      3.007
  1973.050      3.182
  1973.053      3.348
  1973.055      3.455
  1973.058      3.472
  1973.061      3.403
  1973.064      3.264
  1973.066      3.099
  1973.069      2.927
  1973.072      2.789
  1973.075      2.674
  1973.077      2.620
  1973.080      2.619
  1973.083      2.697
  1973.086      2.850
  1973.088      3.046
  1973.091      3.271
  1973.094      3.496
  1973.097      3.674
  1973.099      3.791
  1973.102      3.814
  1973.105      3.734
  1973.107      3.572
  1973.110      3.393
  1973.113      3.229
  1973.116      3.137
  1973.118      3.148
  1973.121      3.266
  1973.124      3.462
  1973.127      3.671
  1973.129      3.832
  1973.132      3.899
  1973.135      3.873
  1973.138      3.747
  1973.140      3.552
  1973.143      3.344
  1973.146      3.132
  1973.149      2.949
  1973.151      2.812
  1973.154      2.735
  1973.157      2.735
  1973.159      2.814
  1973.162      2.952
  1973.165      3.144
  1973.168      3.342
  1973.170      3.531
  1973.173      3.669
  1973.176      3.712
  1973.179      3.656
  1973.181      3.519
  1973.184      3.346
  1973.187      3.186
  1973.190      3.093
  1973.192      3.099
  1973.195      3.211
  1973.198      3.413
  1973.201      3.664
  1973.203      3.892
  1973.206      4.062
  1973.209      4.134
  1973.211      4.104
  1973.214      3.980
  1973.217      3.814
  1973.220      3.629
  1973.222      3.444
  1973.225      3.300
  1973.228      3.210
  1973.231      3.194
  1973.233      3.234
  1973.236      3.335
  1973.239      3.486
  1973.242      3.678
  1973.244      3.861
  1973.247      4.018
  1973.250      4.097
  1973.253      4.069
  1973.255      3.931
  1973.258      3.707
  1973.261      3.477
  1973.264      3.288
  1973.266      3.199
  1973.269      3.220
  1973.272      3.337
  1973.274      3.498
  1973.277      3.642
  1973.280      3.752
  1973.283      3.790
  1973.285      3.748
  1973.288      3.634
  1973.291      3.479
  1973.294      3.293
  1973.296      3.115
  1973.299      2.970
  1973.302      2.875
  1973.305      2.841
  1973.307      2.868
  1973.310      2.954
  1973.313      3.089
  1973.316      3.259
  1973.318      3.452
  1973.321      3.630
  1973.324      3.768
  1973.326      3.820
  1973.329      3.765
  1973.332      3.634
  1973.335      3.453
  1973.337      3.281
  1973.340      3.183
  1973.343      3.201
  1973.346      3.313
  1973.348      3.471
  1973.351      3.626
  1973.354      3.713
  1973.357      3.737
  1973.359      3.666
  1973.362      3.531
  1973.365      3.348
  1973.368      3.140
  1973.370      2.924
  1973.373      2.732
  1973.376      2.596
  1973.379      2.517
  1973.381      2.500
  1973.384      2.550
  1973.387      2.657
  1973.389      2.796
  1973.392      2.960
  1973.395      3.127
  1973.398      3.252
  1973.400      3.336
  1973.403      3.333
  1973.406      3.237
  1973.409      3.061
  1973.411      2.880
  1973.414      2.753
  1973.417      2.733
  1973.420      2.821
  1973.422      2.992
  1973.425      3.180
  1973.428      3.323
  1973.431      3.382
  1973.433      3.341
  1973.436      3.227
  1973.439      3.067
  1973.441      2.876
  1973.444      2.686
  1973.447      2.508
  1973.450      2.369
  1973.452      2.287
  1973.455      2.265
  1973.458      2.294
  1973.461      2.371
  1973.463      2.471
  1973.466      2.594
  1973.469      2.709
  1973.472      2.786
  1973.474      2.822
  1973.477      2.790
  1973.480      2.680
  1973.483      2.501
  1973.485      2.310
  1973.488      2.152
  1973.491      2.076
  1973.493      2.116
  1973.496      2.272
  1973.499      2.471
  1973.502      2.660
  1973.504      2.769
  1973.507      2.769
  1973.510      2.682
  1973.513      2.532
  1973.515      2.346
  1973.518      2.171
  1973.521      2.019
  1973.524      1.917
  1973.526      1.877
  1973.529      1.888
  1973.532      1.972
  1973.535      2.100
  1973.537      2.276
  1973.540      2.469
  1973.543      2.656
  1973.546      2.802
  1973.548      2.908
  1973.551      2.957
  1973.554      2.936
  1973.556      2.823
  1973.559      2.665
  1973.562      2.506
  1973.565      2.386
  1973.567      2.366
  1973.570      2.457
  1973.573      2.639
  1973.576      2.830
  1973.578      2.949
  1973.581      2.964
  1973.584      2.882
  1973.587      2.717
  1973.589      2.511
  1973.592      2.287
  1973.595      2.105
  1973.598      1.962
  1973.600      1.872
  1973.603      1.852
  1973.606      1.906
  1973.608      2.029
  1973.611      2.188
  1973.614      2.383
  1973.617      2.579
  1973.619      2.760
  1973.622      2.880
  1973.625      2.929
  1973.628      2.903
  1973.630      2.809
  1973.633      2.679
  1973.636      2.552
  1973.639      2.463
  1973.641      2.460
  1973.644      2.559
  1973.647      2.749
  1973.650      2.967
  1973.652      3.179
  1973.655      3.316
  1973.658      3.331
  1973.661      3.235
  1973.663      3.070
  1973.666      2.851
  1973.669      2.649
  1973.671      2.474
  1973.674      2.351
  1973.677      2.288
  1973.680      2.288
  1973.682      2.350
  1973.685      2.453
  1973.688      2.612
  1973.691      2.783
  1973.693      2.942
  1973.696      3.069
  1973.699      3.129
  1973.702      3.107
  1973.704      3.005
  1973.707      2.859
  1973.710      2.705
  1973.713      2.601
  1973.715      2.568
  1973.718      2.643
  1973.721      2.797
  1973.723      3.017
  1973.726      3.235
  1973.729      3.417
  1973.732      3.512
  1973.734      3.494
  1973.737      3.393
  1973.740      3.215
  1973.743      3.031
  1973.745      2.869
  1973.748      2.745
  1973.751      2.669
  1973.754      2.656
  1973.756      2.705
  1973.759      2.797
  1973.762      2.931
  1973.765      3.086
  1973.767      3.251
  1973.770      3.381
  1973.773      3.458
  1973.775      3.459
  1973.778      3.384
  1973.781      3.227
  1973.784      3.046
  1973.786      2.887
  1973.789      2.811
  1973.792      2.824
  1973.795      2.942
  1973.797      3.119
  1973.800      3.309
  1973.803      3.475
  1973.806      3.572
  1973.808      3.572
  1973.811      3.498
  1973.814      3.361
  1973.817      3.193
  1973.819      3.030
  1973.822      2.893
  1973.825      2.809
  1973.828      2.787
  1973.830      2.825
  1973.833      2.918
  1973.836      3.062
  1973.838      3.222
  1973.841      3.400
  1973.844      3.564
  1973.847      3.693
  1973.849      3.764
  1973.852      3.758
  1973.855      3.684
  1973.858      3.544
  1973.860      3.388
  1973.863      3.294
  1973.866      3.285
  1973.869      3.360
  1973.871      3.509
  1973.874      3.679
  1973.877      3.803
  1973.880      3.836
  1973.882      3.785
  1973.885      3.656
  1973.888      3.471
  1973.890      3.257
  1973.893      3.040
  1973.896      2.849
  1973.899      2.703
  1973.901      2.625
  1973.904      2.608
  1973.907      2.635
  1973.910      2.725
  1973.912      2.841
  1973.915      2.976
  1973.918      3.102
  1973.921      3.213
  1973.923      3.279
  1973.926      3.286
  1973.929      3.225
  1973.932      3.114
  1973.934      2.964
  1973.937      2.848
  1973.940      2.808
  1973.943      2.876
  1973.945      3.029
  1973.948      3.236
  1973.951      3.410
  1973.953      3.497
  1973.956      3.492
  1973.959      3.385
  1973.962      3.218
  1973.964      3.003
  1973.967      2.791
  1973.970      2.593
  1973.973      2.437
  1973.975      2.325
  1973.978      2.273
  1973.981      2.298
  1973.984      2.368
  1973.986      2.466
  1973.989      2.585
  1973.992      2.705
  1973.995      2.790
  1973.997      2.856
  1974.000      2.861
  1974.003      2.830
  1974.005      2.735
  1974.008      2.606
  1974.011      2.482
  1974.014      2.401
  1974.016      2.414
  1974.019      2.525
  1974.022      2.712
  1974.025      2.909
  1974.027      3.034
  1974.030      3.059
  1974.033      2.956
  1974.036      2.764
  1974.038      2.538
  1974.041      2.311
  1974.044      2.113
  1974.047      1.979
  1974.049      1.899
  1974.052      1.878
  1974.055      1.927
  1974.057      2.036
  1974.060      2.190
  1974.063      2.359
  1974.066      2.532
  1974.068      2.680
  1974.071      2.807
  1974.074      2.884
  1974.077      2.895
  1974.079      2.836
  1974.082      2.755
  1974.085      2.660
  1974.088      2.582
  1974.090      2.572
  1974.093      2.663
  1974.096      2.839
  1974.099      3.073
  1974.101      3.276
  1974.104      3.399
  1974.107      3.386
  1974.110      3.262
  1974.112      3.060
  1974.115      2.832
  1974.118      2.624
  1974.120      2.463
  1974.123      2.358
  1974.126      2.314
  1974.129      2.340
  1974.131      2.411
  1974.134      2.524
  1974.137      2.672
  1974.140      2.812
  1974.142      2.932
  1974.145      3.024
  1974.148      3.063
  1974.151      3.042
  1974.153      2.965
  1974.156      2.850
  1974.159      2.726
  1974.162      2.641
  1974.164      2.619
  1974.167      2.688
  1974.170      2.861
  1974.172      3.093
  1974.175      3.351
  1974.178      3.560
  1974.181      3.666
  1974.183      3.646
  1974.186      3.520
  1974.189      3.332
  1974.192      3.128
  1974.194      2.959
  1974.197      2.837
  1974.200      2.768
  1974.203      2.760
  1974.205      2.809
  1974.208      2.894
  1974.211      3.002
  1974.214      3.132
  1974.216      3.242
  1974.219      3.333
  1974.222      3.365
  1974.225      3.328
  1974.227      3.237
  1974.230      3.097
  1974.233      2.936
  1974.235      2.792
  1974.238      2.704
  1974.241      2.689
  1974.244      2.772
  1974.246      2.926
  1974.249      3.101
  1974.252      3.267
  1974.255      3.363
  1974.257      3.376
  1974.260      3.290
  1974.263      3.124
  1974.266      2.931
  1974.268      2.760
  1974.271      2.636
  1974.274      2.593
  1974.277      2.635
  1974.279      2.734
  1974.282      2.871
  1974.285      3.034
  1974.287      3.215
  1974.290      3.407
  1974.293      3.578
  1974.296      3.692
  1974.298      3.743
  1974.301      3.732
  1974.304      3.655
  1974.307      3.540
  1974.309      3.416
  1974.312      3.317
  1974.315      3.306
  1974.318      3.354
  1974.320      3.473
  1974.323      3.636
  1974.326      3.776
